id,abbrev,name,is_public_domain,lang_code,lang_name,country,has_text
3396,kaj,Jju,False,kaj,Jju,NG,True
3401,APD1978,Kitaab al Vahd aj Jadid 1978,False,apd,"Arabic, Sudanese (Latin)",CF;EG;ER;ET;LY;SD;TD,True
3402,HBN,Kitham Gina Giyaŋ 1966,False,hbn,Heiban (Sudan),SD,True
3403,OTR1966,ŋuɽun ŋun ŋiya ŋun ŋikaiilo elo 1966,False,otr,Otoro,SD,True
3415,PUU1992,La Sainte Bible en Langue Yipunu,False,puu,Punu (Ipounou),CG;GA,True
3421,ABM,Abanyom LP New Testament Portions,False,abm,Abanyom,NG,True
3422,NDD Nta,Nde-Nsele-Nta LP NT Portions,False,ndd,Nde-Nsele-Nta,NG,True
3427,TCENT,The Text-Critical English New Testament,True,,,,True
3428,grcTCGNT,Text-Critical Greek New Testament,True,,,,True
3430,Olulumo-Ikom,Nkome LP NT Portions,False,iko,Olulumo-Ikom,NG,True
3431,BANGI,"Mbengu Etemu, Mabandela, Nzembo, Bantete 1916",False,bni,Bangi,CD;CF;CG,True
3433,XSN,Luka,True,xsn,Sanga,NG,True
3434,Csa,MUKANDA USANDU WA ZAMBI 1975,False,cjk,Chokwe,AO;CD;NA;ZM,True
3438,MYE,Bibili 1927 (Omyene),False,mye,Myene,GA,True
3439,ATWDB,KYERƐW KRONKRON,False,twi,Twi,,True
3440,RATB,KYERƐW KRONKRON,False,twi,Twi,,True
3448,GWG,Linjil i Yesu Krista Suñu Borom bi 1907,False,wof,Wolof (Gambia),GM;SN,True
3455,JER,Azelle New Testament Portions,False,jer,Jere,NG,True
3456,MTL,Tel NT Portions,False,mtl,Montol,NG,True
3457,OYBC2022,Orthodox Yiddish Brit Chadasha New Testament,True,,,,True
3461,povB,BIBLIA - traduson antigu in Krioulo,False,pov,"Crioulo, Upper Guinea",GM;GW;SN;US,True
3462,SBK,Ilagano Ipya,False,sbk,Safwa,TZ,True
3473,KOQ,Kota Kiwoyeti (koq) NT Portions,False,koq,Kota (Gabon),CG;GA,True
3474,MDT,Obamba Kiwoyeti (mdt) NT Portions,False,mdt,Mbere,CG;GA,True
3475,NZB,Yinzebi NT Kiwoyeti,False,nzb,Yinzébi,CG;GA,True
3476,SWJ,Gisir,False,swj,Gisir (Eshira),GA,True
3477,teg,Tege Kiwoyeti (teg) NT Portions,False,teg,Teke-Tege,CG;GA,True
3478,WUM,Wumbu Kiwoyeti (wum) NT Portions,False,wum,Wumbvu,CG;GA,True
3485,PYM : Gam,PYAM NT Portions,False,pym,Fyam,NG,True
3489,ZMB,Zimba Nouveau Testament Portions,False,zmb,Zimba,CD,True
3494,KKG20,Khoekhoegowab Elobmîs 2020,False,naq,Khoekhoe,BW;NA;ZA,True
3497,KitWoy,Kitaaba Woyyuu,False,gax,"Oromo, Arsi",ET;KE;SO,True
3498,KeesKita,KEESAMMI KITAABA,False,hdy,Hadiyya,ET,True
3499,AFR20,Die Bybel 2020-vertaling,False,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,True
3500,ZUL20,IsiZulu 2020,False,zul,Zulu,BW;LS;MZ;SZ;ZA,True
3501,bkwNT,Ɛbhɛŋ ɛ na Bes,False,bkw,Bekwel,CG;CM;GA,True
3504,GBLNT,Gamit New Testament,True,,,,True
3507,BudKoya,Agɔmɔ ngia wʉ Ɨtakɨ-takɨ,False,buu,Budu,CD,True
3509,KMW,Ɔngana á Kɛ̌kɛ,False,kmw,Komo,CD,True
3526,XHO1902A,"Incwadi Yeziba̔lo Ezingcwele 1864, 1902 (Xhosa Appleyard)",False,xho,Xhosa,BW;LS;ZA,True
3529,Chakfem,Chakfem (ckyc),False,cky,Cakfem-Mushere,NG,True
3540,HSB,Hindi Standard Bible,True,,,,True
3542,BNT,Gakayiti an Urün aŋ,False,tnr,Ménik,SN,True
3557,QUTTOT22,Nuevo Testamento K'iche' of Totonicapan,True,,,,True
3564,GEK,Ywom NT Portions Luke,False,gek,Yiwom,NG,True
3582,MNT,Mɨkan wu Fi,False,nge,Ngemba,CM,True
3583,LNB,ŊWÀʼ NYÙY,False,lns,Lamnso’,CM;NG,True
3584,MPU,Myēnj phōn mí Zɛɛ̄mb,False,mgg,Mpumpong,CG;CM,True
3590,MBT2023,Ala Ya Salatikan Kula Kitabu,False,mzj,Manya,GN;LR,True
3593,GOURU,Kazambale lé Sebe Sauunu 1979,False,goa,Guro,CI,True
3594,LOBIRI,Thãgbaa Ʋlfɛ Pha 1985,False,lob,Lobi,BF;CI;GH,True
3601,SothoNT,Baasraak Sotho NT,False,sot,Southern Sotho,LS;ZA,True
3602,CXB24,Contemporary Xhosa Bible 2024,False,xho,Xhosa,BW;LS;ZA,True
3603,ZuluNT,Baasraak Zulu New Testament Bible,False,zul,Zulu,BW;LS;MZ;SZ;ZA,True
3604,SNQ,Sangu: Isangu (snq) NT,False,snq,Sangu,GA,True
3605,PKP,Piibel Kõigile,True,,,,True
3606,Arli,Romani Arli Bible,True,,,,True
3607,Chergash,Bible in Chergash Romani,True,,,,True
3608,Gurbet,The Word of God in Gurbet,True,,,,True
3614,MA23,Mapangano Alomba 1923,False,nse,Nsenga,MZ;ZM;ZW,True
3618,SAGALLANT,UVORO GHWALOLI KWA WANDU WOSE,False,tga,Sagalla,KE,True
3621,bho,Bhojpuri NT (BSI),True,,,,True
3622,GYZ,Geji New Testament Portions,True,gyz,Geji,NG,True
3625,PLJ,Zul,True,,,,True
3630,MKF,Miyawa,False,mkf,Miya,NG,True
3636,AlisIRonNT,Findel i DeeƁwe Ti Alis i Ron,False,cla,Ron,NG,True
3641,WJI,Warji,False,wji,Warji,NG,True
3644,JGK,Jarawa,False,jgk,Gwak,NG,True
3655,ary,Northern Mor N T,False,ary,Moroccan Arabic,DZ;EH;MA,True
3659,SUQ,Suri Latin,False,suq,Suri,ET;SS,True
3660,CAB23,Contemporary Afrikaans Bible 2023,False,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,True
3661,KBG,Wɛ Tɔnɔ,False,xsm,Kasem,BF;GH,True
3672,swb,Ha`bari Ndjema ya I Maore,False,swb,"Comorian, Maore",FR;KM;MG;RE;YT,True
3678,gab,Gabri Maja,False,gab,Gabri,TD,True
3681,kya,Iimuuma Iinyaaya,False,kya,Kwaya,TZ,True
3684,MGS1937,Kilagano kya hino 1937,False,mgs,Manda (Tanzania),MW;TZ,True
3689,jit,Indagano Inyaaya mu-Chijita,False,jit,Jita,TZ,True
3691,TUP,Tupuri Bible,False,tui,Tupuri,CM;TD,True
3692,bwj,Buamu Laa,False,bwj,"Bwamu, Láá Láá",BF,True
3695,CKL,Kibaku NT,False,ckl,Cibak,NG,True
3697,cwt,Kwatay (Kuwaataay),False,cwt,Kuwaataay,SN,True
3705,bcy,Ɓwaatiye New Testament,False,bcy,Bacama,NG,True
3711,TNG1978,Kebu go dore go herua 1978,False,tng,Northern Gabri,TD,True
3712,BTP25,Bhumiya Bible,True,,,,True
3713,GMi25,Gawli Bible,True,,,,True
3714,PSP25,Powari Bible,True,,,,True
3715,NTRPT23,Relli New Testament,True,,,,True
3716,Srr25,Sikkiligar Bible,True,,,,True
3721,LLA,Lala NT,False,lla,Lala-Roba,NG,True
3722,WVe25,Waghri Booli Bible,True,,,,True
3725,NOCV,ክታበ ቁልቁሉ፣ ሂካ አመያ ሃራ,False,gaz,West Central Oromo,ET;SD,True
3726,ncr,Nchane (Ncane),False,ncr,Ncane,CM,True
3729,nie,Ɛrgɨ Ɓani,False,nie,Niellim,TD,True
3749,mho,Mashi,True,mho,Mashi,AO;NA;ZM,True
3751,SRR23,NQAARIIT NE ROOG,False,srr,Serer (Senegal),GM;SN,True
3752,kus_gh,GH,False,kus,Kusaal,BF;GH;TG,True
3758,MGSPSA,Zaburi sya Daud 1913 (Tanzania),False,mgs,Manda (Tanzania),MW;TZ,True
3759,KIB1967,Ṯikiṯaḏiza Ṯiaŋ 1967,False,kib,Koalib,SD,True
3766,LAG,Mʉháko Mufya,False,lag,Langi,TZ,True
3767,CINDAU NT,NOVO TESTAMENTO EM NDAU,False,ndc,Ndau,MZ;ZW,True
3771,ZAK,Eriiragano Eriihya,False,zak,Zanaki,TZ,True
3772,Ruth BGD,The  Book or Ruth in Guge,False,gde,Gude,CM;NG,True
3773,GB,Bible en Guidar,False,gid,Gidar,CM;TD,True
3774,GBD,Bible en Guidar,False,gid,Gidar,CM;TD,True
3776,JOB,Jɔ Biibili ki,False,jow,Jowulu,BF;ML,True
3777,HWO,Hona Bible,True,hwo,Hwana,NG,True
3781,Kwere,Lagano da Sambi kwa Wanhu Wose,True,cwe,Kwere,TZ,True
3784,gsl,Gusiilaay,False,gsl,Gusilay,SN,True
3789,NTDNB24,The New Testament in Danu Language,True,,,,True
3790,NTRKB25,The New Testament in Rakhine Language,True,,,,True
3791,NTDWB24,The New Testament in Dawei Language,True,,,,True
3816,BUI1947,Mina ma Nzambe 1947,False,bui,Bongili,CG,True
3817,KP25,Kolami Bible,True,,,,True
3820,NTVII24,The Vagiri New Testament,True,,,,True
3821,hatbsa,Haitian Bible,True,,,,True
3828,bax,Bamun - 1988 CAM (NT) Non Drama,False,bax,Bamun,CM,True
3834,asj,Sari,False,asj,Sari,CM,True
3837,btg,Nouveau Testament bété de Gagnoa,False,btg,"Bété, Gagnoa",CI,True
3842,LOT1969,Ecorit Aŋejuk 1969,False,lot,Otuho,SS;UG,True
3844,turytc,Literal Turkish Bible Translation (YTC),True,,,,True
3845,CSOB24,Contemporary Southern Sotho Bible 2024,False,sot,Southern Sotho,LS;ZA,True
3846,CZB24,Contemporary Zulu Bible 2024,False,zul,Zulu,BW;LS;MZ;SZ;ZA,True
3847,sxw,"Gbe, Saxwe - 2022 WBT (NT) Non Drama",False,sxw,"Gbe, Saxwe",BJ,True
3848,ntm,"Naténi - WBT (NT,GEN,EXO) Non Drama",False,ntm,Naténi,BJ,True
3849,beh,"Biali - WBT (NT, GEN) Drama",False,beh,Biali,BF;BJ;TG,True
3850,beh,"Biali - WBT (NT, GEN) Non Drama",False,beh,Biali,BF;BJ;TG,True
3854,CSEB24,Contemporary Sepedi Nothern Sotho Bible 2024,False,nso,"Sotho, Northern",BW;ZA,True
3855,CTSB24,Contemporary Tsonga Bible 2024,False,tso,Tsonga,MZ;SZ;ZA;ZW,True
3862,BNG1895,"Biblia Benga 1895, 1926",False,bng,Bɛŋga,GA;GQ,True
3867,አማ54,መጽሐፍ ቅዱስ (የብሉይና የሐዲስ ኪዳን መጻሕፍት),False,amh,Amharic,DJ;ET,True
3876,ponPD,Old Pohnpeian Bible,True,,,,True
3879,RUPF,Aromanian Frasherot Bible,True,,,,True
3880,IKZ,Ʉbhʉragɨ Ubhuhya,False,ikz,Ikizu,TZ,True
3887,LUC,Bụ́kụ̃ Ị́jọ́ ụ̃kụ rĩ agá tõwú rĩ kî,False,luc,Aringa,SS;UG,True
3902,BDZU,Bible Dzùùngoo Unicode,False,dnn,Dzùùngoo,BF,True
3904,SOM,"Marko 1915, Yohana 1929 (Ogaden-Harti Somali)",False,som,Somali,DJ;ET;KE;SO,True
3910,SPBT,The New Testament in Shwe Palaung,True,,,,True
3912,CTWB24,Contemporary Tswana Bible 2024,False,tsn,Setswana,BW;NA;ZA;ZM;ZW,True
3917,SCC,Saaho Cusub Cahde,False,ssy,Saho,ER;ET,True
3919,buuN,Mʉkpanganɨa nɔ Agɔmɛ ɔ Ɨtakɨtakɨ,False,buu,Budu,CD,True
3922,MHW1986,Testamende Ghomupya Nopisalemi 1986,False,mhw,Mbukushu,AO;BW;NA;ZM,True
3924,TSV,New Testament in Mitsogo,False,tsv,Tsogo,GA,True
3928,YOM-CD,Bible en Kiyombe,False,yom,Yombe,AO;CD;CG,True
3929,YNS,Bible Iyansi,True,yns,Yansi,CD,True
3933,DBD,Dadiya NT,False,dbd,Dadiya,NG,True
3934,ICH,Etkwen New Testament,False,ich,Etkywan,NG,True
3935,EDO96,Edo Bible (E Baibol Ẹdo) Version 1996,False,bin,Edo,NG,True
3936,IBY,Ibani New Testament,False,iby,Ibani,NG,True
3937,ikv-NG,Ehua,False,ikv,Iku-Gora-Ankwa,NG,True
3938,KCQ,Kamo New Testament,False,kcq,Kamo,NG,True
3939,PUNNT,Punu NT,True,puu,Punu (Ipounou),CG;GA,True
3940,NdeBV,Ndendeule,True,dne,Ndendeule,TZ,True
3941,MaBV,Matengo Bible Version,True,mgv,Matengo,TZ,True
3946,LGA,Luqa Full Bible,True,,,,True
3949,omi,Omi Traduction 2,False,omi,Omi,CD,True
3951,YAF,Yaka NT,True,yaf,Yaka,AO;CD,True
3953,MKB,BIBLIYA NTAGATIFU OMU MASHI,True,shr,Shi,BI;CD;RW,True
3956,GLW,Glavda NT Portion,True,glw,Glavda,CM;NG,True
3958,XuMats,Xummaanchu Matsaafa,False,ktb,Kambaata,ET,True
3970,SomGar24,Somau Garia New Testament Portions,True,,,,True
3971,BBTP,Apam Foforɔ,False,abr,Abron,CI;GH,True
3972,BKV,Bewkwarra Bible OT Portions,False,bkv,Bekwarra,NG,True
3973,OTMpBL2020,Chimpoto,True,mpa,Mpoto,MW;TZ,True
3974,NTNHBL,Ndondehamba,True,njd,Ndonde Hamba,TZ,True
3976,FKK,Fali Mijilu kirya NT Portions,False,fkk,Kirya-Konzel,NG,True
3977,MaQu,Mataafa Qulqulloota,False,kxc,Konso,ET,True
3978,DuyaNT,Ibibemuwe-Num Iyiki Ifa Ru Dũya,False,ldb,Duya,NG,True
3979,Wrr,Waddar,True,,,,True
3981,FIR,Firan NT Portions,False,fir,Firan,NG,True
3982,KNI,Kanufi NT Portions,False,kni,Kanufi,NG,True
3983,YER,Tarok Bible,True,yer,Tarok,NG,True
3988,TIG24,Tigrigna:  Contemporary Tigrinya Bible 2024,False,tir,Tigrinya,DJ;ER;ET;SD,True
3989,UtMain,ut-Mai'n Scripture portions,False,gel,ut-Ma’in,NG,True
3990,KTn,Koda Translation,True,,,,True
3991,Iceve-Maci,Iceve,False,bec,Iceve-Maci,CM;NG,True
3992,EKA-011,Ekajuk Scriptures Bible Portions,True,eka,Ekajuk,NG,True
3993,Olulumo-Ikom,Olulumo,False,iko,Olulumo-Ikom,NG,True
3994,NBB,Ndoe,False,nbb,Ndoe,NG,True
3995,NBP,Nnam,False,nbp,Nnam,NG,True
3996,NDD-011,Nde,False,ndd,Nde-Nsele-Nta,NG,True
3997,tbt,Echilaano Chiyayaya,False,tbt,Tembo,CD,True
3998,UTA,Itang,False,uta,Otank,NG,True
4009,KWM,Etestemente Epe ✠ 1951,False,kwm,Oshikwambi,,True
4029,EI,Ereyga Illaahey Axdiga Cusub,False,som,Somali,DJ;ET;KE;SO,True
4030,HBe,Hruso Bible,True,,,,True
4031,الحسانية,الكتاب المقدس بلغة الحسانية,True,mey,Hassaniyya,DZ;EH;MA;ML;MR;NE;SN,True
4034,THUR,Buke mökö kï ï Cïk na Cön ëka kï ï Cïk na Nyen,False,lth,Thur,UG,True
4039,sce,DongXiang Sheng Jing NT,True,,,,True
4041,ጋሞመጽቅበፊደል,ጋሞ ማጻፋ,True,gmv,Gamo,ET,True
4044,GFBEVF,ጌሻ ማፃፋ,True,gof,Gofa,ET,True
4046,SUB,Shona BIBLE,False,sna,Shona,BW;ZA;ZM;ZW,True
4049,NNBII,BAIBULO INONGWA INUNU,False,nyy,Nyakyusa-Ngonde,MW;TZ,True
4050,Gnn25,Gowlan Bible,True,,,,True
4051,Sii25,Siddi Bible,True,,,,True
4052,GHN,Kubokota Adapt New Testament,True,,,,True
4053,Luna_NT,Disambi Dipyadipya,False,luj,Luna,CD,True
4054,BSP25,Bhilali Bible,True,,,,True
4055,Dii25,Dhankavi Bible,True,,,,True
4057,MtP25,Mehra Bible,True,,,,True
4058,SHINT10,اغاراس ن-تودرت - ءينجيل لّماسيح - لعهد لّجديد لّي-يسكر ربّي غ-گراس د-بنادم,False,shi,Tashelhayt,DZ;MA,True
4064,BayNTEth,አማቶ ኦኡሱብ,True,bsw,Baiso,ET,True
4065,RTu2025,Rana Tharu Bible,True,,,,True
4066,nkn,Nkangala Bible Translation,True,nkn,Nkangala,AO,True
4068,BayNT,Ammato O?usub,True,bsw,Baiso,ET,True
4071,MOF89,Ma Zhiklè,False,maf,Mafa,CM;NG,True
4074,DFBLVL,Geeshsha Mas'aafaa,False,dwr,Dawro,ET,True
4075,DFBE,ጌሻ ማጻፋ,True,dwr,Dawro,ET,True
4077,lyn,Luyana Bible Translation,True,lyn,Luyana,AO;NA;ZM,True
4080,JBT,Meeŋka Jooŋ,True,jum,Jumjum,SD;SS,True
4082,GD,Gúloku Díino,False,bcz,Bainouk-Gunyaamolo,GM;GW;SN,True
4083,mfmTNT,Ndǝshiguˈyar Foɗǝu Ənga Thlǝr Camaˈyar,True,mfm,Marghi South,NG,True
4084,wja,Waja,True,wja,Waja,NG,True
4086,BNT,BIBILIYA NA KITUBA,False,mkw,Kituba,CG,True
4087,BE1978,iBhayibhili Elingcwele 1978,False,nde,North Ndebele,BW;ZM;ZW,True
4090,APD2024,كِتاب العَهد الجَّديد مِن الكِتاب المُقَدَّس,False,apd,"Arabic, Sudanese",CF;EG;ER;ET;LY;SD;TD,True
4099,GDF,Gava NT,True,gdf,Guduf-Gava,CM;NG,True
4100,SUR-x-MUPUN,Manji Yiljep,True,sur,Mwaghavul,NG,True
4113,UTR,Etulo NT,True,utr,Etulo,NG,True
4118,NG1898,Ivangeli lika Marko 1899,False,xnj,kiNgoni,TZ,True
4119,KOO1914,Enjiri Nkokuyahandikawa Marako 1914,False,koo,Konzo,CD;UG,True
4121,NUJ,Endagaano Epyaha ko n'ebitabo ebindi eby'Endagaano Ekayire mu Lunyole,False,nuj,Nyole,UG,True
4122,YAO1880,Anjili Ja Mattayo 1880,False,yao,Yao,MW;MZ;TZ;ZM,True
4125,guj,KITAABA WOYYICHA,True,gax,"Oromo, Borana-Arsi-Guji",ET;KE;SO,True
4129,Lubwisi,Ndaghaano Mpyaka na bimui haa Bitabo byꞌomu Ndaghaano Nkulu mu Lubwisi,False,tlj,Talinga-Bwisi,CD;UG,True
4130,GylNTEth,ጋይል አዲስ ኪዳን,True,gyl,Gayil,ET,True
4131,YemNTEth,ጋዶ ቴያ,True,jnj,Yemsa,ET,True
4132,YemsaNTL,Gaddo Teyya,True,jnj,Yemsa,ET,True
4133,MeloNTL,Oroth Caaqo,True,mfx,Melo,ET,True
4134,MeloNTEth,ኦሮ ጫቆ,True,mfx,Melo,ET,True
4135,OydaNTL,Oyda New Testament,True,oyd,Oyda,ET,True
4136,OydaNTE,ኦይዳ አዲስ ኪዳን,True,oyd,Oyda,ET,True
4138,hlb,Halaba New Testament,True,alw,Alaba-K’abeena,ET,True
4150,Bakwé,"Kuö Dëdrä, Jenɛɛsë, Rutë",False,bjw,Bakwé,CI,True
4154,LMB2024,IBAYIBOLO 2024,False,lai,Lambya,MW;TZ;ZM,True
4180,MZQ,Alkitab Tambee,True,,,,True
4182,MRK,The Gospel Written By Mark In Purum,True,,,,True
4183,rhgB,Rohingya Bible Portions,True,,,,True
4184,RST,The New Testament in Rohingya,True,,,,True
4209,gbvnt,New Testament,True,,,,True
4227,ZIN,Endagano Eénsha omu Chiziinza,False,zin,Zinza,TZ,True
4235,KWN,The Bible in Rukwangili 1987 (Namibia),False,kwn,Kwangali,AO;NA,True
4239,driNT,Lalks Na'Sila̱ Lalk Gigk Poune C'Lela,False,dri,C’lela,NG,True
4240,KOO1978,Nyamuhanga Akatsangira Oyukatsira 1978 (Luke 15),False,koo,Konzo,CD;UG,True
4255,IDC-NG,Ajigha NT Portion,True,idc,Ajiya,NG,True
4264,NTTL25,Tichurong,True,,,,True
4271,YMP,Yamap,True,,,,True
4274,ORX,Oro Elile n̄wid Abazi,False,orx,Oro,NG,True
4276,txy TEC,Nsia yi Mbwe,False,tyx,Teke-Tyee,CG,True
4283,ETB,Edisana Nwad Abasi,False,etb,Etebi,NG,True
4287,IDE,Edisana Ŋwed Abasi,False,ide,Idere,NG,True
4289,ITM,Edisana Ŋwed Abasi,False,itm,Itu Mbon Uzo,NG,True
4290,ITW,Adisana Ŋwed Abasi Ito,False,itw,Ito,NG,True
4293,KCN,Baibuli Alnedif Nubi,False,kcn,Nubi,CD;KE;SS;UG;US,True
4300,NKZ,Nsasana Ŋwed Idem-Mbubod,False,nkz,Nkari,NG,True
4302,IBN,Adisana N̄kwed Abasi,False,ibn,Ibino,NG,True
4307,UKQ,Edisana Ŋwed Abasi Ukwa,False,ukq,Ukwa,NG,True
4308,UYA,Anwed Daŋaraŋ A-Uwase,False,uya,Doko-Uyanga,NG,True
